numer,denom,倒数分解法
21535635105883218754891329969266799496690029999328487171024618760617891774469201000000000000000000000000000000000000000000000000000000000000,949721508169449947090707651644665857804030322970386284242185687343249027254091764100000000000000000000000000000000000000000000000000000000000000,1
4522483372235475938527179293546027894304906299858982305915169939729757272638532210000000000000000000000000000000000000000000000000000000000000,199441516715584488889048606845379830138846367823781119690858994342082295723359270461000000000000000000000000000000000000000000000000000000000000000,1
949721508169449947090707651644665857804030322970386284242185687343249027254091764100000000000000000000000000000000000000000000000000000000000000,41882718510272742666700207437529764329157737242994035135080388811837282101905446796810000000000000000000000000000000000000000000000000000000000000000,1
199441516715584488889048606845379830138846367823781119690858994342082295723359270461000000000000000000000000000000000000000000000000000000000000000,8795370887157275960007043561881250509123124821028747378366881650485829241400143827330100000000000000000000000000000000000000000000000000000000000000000,1
41882718510272742666700207437529764329157737242994035135080388811837282101905446796810000000000000000000000000000000000000000000000000000000000000000,1847027886303027951601479147995062606915856212416036949457045146602024140694030203739321000000000000000000000000000000000000000000000000000000000000000000,1
8795370887157275960007043561881250509123124821028747378366881650485829241400143827330100000000000000000000000000000000000000000000000000000000000000000,387875856123635869836310621078963147452329804607367759385979480786425069545746342785257410000000000000000000000000000000000000000000000000000000000000000000,1
1847027886303027951601479147995062606915856212416036949457045146602024140694030203739321000000000000000000000000000000000000000000000000000000000000000000,81453929785963532665625230426582260964989258967547229471055690965149264604606731984904056100000000000000000000000000000000000000000000000000000000000000000000,1
387875856123635869836310621078963147452329804607367759385979480786425069545746342785257410000000000000000000000000000000000000000000000000000000000000000000,17105325255052341859781298389582274802647744383184918188921695102681345566967413716829851781000000000000000000000000000000000000000000000000000000000000000000000,1
81453929785963532665625230426582260964989258967547229471055690965149264604606731984904056100000000000000000000000000000000000000000000000000000000000000000000,3592118303560991790554072661812277708556026320468832819673555971563082569063156880534268874010000000000000000000000000000000000000000000000000000000000000000000000,1
17105325255052341859781298389582274802647744383184918188921695102681345566967413716829851781000000000000000000000000000000000000000000000000000000000000000000000,754344843747808276016355258980578318796765527298454892131446754028247339503262944912196463542100000000000000000000000000000000000000000000000000000000000000000000000,1
3592118303560991790554072661812277708556026320468832819673555971563082569063156880534268874010000000000000000000000000000000000000000000000000000000000000000000000,158412417187039737963434604385921446947320760732675527347603818345931941295685218431561257343841000000000000000000000000000000000000000000000000000000000000000000000000,1
754344843747808276016355258980578318796765527298454892131446754028247339503262944912196463542100000000000000000000000000000000000000000000000000000000000000000000000,33266607609278344972321266921043503858937359753861860742996801852645707672093895870627864042206610000000000000000000000000000000000000000000000000000000000000000000000000,1
158412417187039737963434604385921446947320760732675527347603818345931941295685218431561257343841000000000000000000000000000000000000000000000000000000000000000000000000,6985987597948452444187466053419135810376845548310990756029328389055598611139718132831851448863388100000000000000000000000000000000000000000000000000000000000000000000000000,1
33266607609278344972321266921043503858937359753861860742996801852645707672093895870627864042206610000000000000000000000000000000000000000000000000000000000000000000000000,1467057395569175013279367871218018520179137565145308058766158961701675708339340807894688804261311501000000000000000000000000000000000000000000000000000000000000000000000000000,1
6985987597948452444187466053419135810376845548310990756029328389055598611139718132831851448863388100000000000000000000000000000000000000000000000000000000000000000000000000,308082053069526752788667252955783889237618888680514692340893381957351898751261569657884648894875415210000000000000000000000000000000000000000000000000000000000000000000000000000,1
1467057395569175013279367871218018520179137565145308058766158961701675708339340807894688804261311501000000000000000000000000000000000000000000000000000000000000000000000000000,64697231144600618085620123120714616739899966622908085391587610211043898737764929628155776267923837194100000000000000000000000000000000000000000000000000000000000000000000000000000,1
308082053069526752788667252955783889237618888680514692340893381957351898751261569657884648894875415210000000000000000000000000000000000000000000000000000000000000000000000000000,13586418540366129797980225855350069515378992990810697932233398144319218734930635221912713016264005810761000000000000000000000000000000000000000000000000000000000000000000000000000000,1
64697231144600618085620123120714616739899966622908085391587610211043898737764929628155776267923837194100000000000000000000000000000000000000000000000000000000000000000000000000000,2853147893476887257575847429623514598229588528070246565769013610307035934335433396601669733415441220259810000000000000000000000000000000000000000000000000000000000000000000000000000000,1
13586418540366129797980225855350069515378992990810697932233398144319218734930635221912713016264005810761000000000000000000000000000000000000000000000000000000000000000000000000000000,599161057630146324090927960220938065628213590894751778811492858164477546210441013286350644017242656254560100000000000000000000000000000000000000000000000000000000000000000000000000000000,1
2853147893476887257575847429623514598229588528070246565769013610307035934335433396601669733415441220259810000000000000000000000000000000000000000000000000000000000000000000000000000000,125823822102330728059094871646396993781924854087897873550413500214540284704192612790133635243620957813457621000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
599161057630146324090927960220938065628213590894751778811492858164477546210441013286350644017242656254560100000000000000000000000000000000000000000000000000000000000000000000000000000000,26423002641489452892409923045743368694204219358458553445586835045053459787880448685928063401160401140826100410000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
125823822102330728059094871646396993781924854087897873550413500214540284704192612790133635243620957813457621000000000000000000000000000000000000000000000000000000000000000000000000000000000,5548830554712785107406083839606107425782886065276296223573235359461226555454894224044893314243684239573481086100000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
26423002641489452892409923045743368694204219358458553445586835045053459787880448685928063401160401140826100410000000000000000000000000000000000000000000000000000000000000000000000000000000000,1165254416489684872555277606317282559414406073708022206950379425486857576645527787049427595991173690310431028081000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
5548830554712785107406083839606107425782886065276296223573235359461226555454894224044893314243684239573481086100000000000000000000000000000000000000000000000000000000000000000000000000000000000,244703427462833823236608297326629337477025275478684663459579679352240091095560835280379795158146474965190515897010000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
1165254416489684872555277606317282559414406073708022206950379425486857576645527787049427595991173690310431028081000000000000000000000000000000000000000000000000000000000000000000000000000000000000,51387719767195102879687742438592160870175307850523779326511732663970419130067775408879756983210759742690008338372100000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
244703427462833823236608297326629337477025275478684663459579679352240091095560835280379795158146474965190515897010000000000000000000000000000000000000000000000000000000000000000000000000000000000000,10791421151110971604734425912104353782736814648609993658567463859433788017314232835864748966474259545964901751058141000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
51387719767195102879687742438592160870175307850523779326511732663970419130067775408879756983210759742690008338372100000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2266198441733304036994229441541914294374731076208098668299167410481095483635988895531597282959594504652629367722209610000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
10791421151110971604734425912104353782736814648609993658567463859433788017314232835864748966474259545964901751058141000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,475901672763993847768788182723802001818693526003700720342825156201030051563557668061635429421514845977052167221664018100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
2266198441733304036994229441541914294374731076208098668299167410481095483635988895531597282959594504652629367722209610000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,99939351280438708031445518371998420381925640460777151271993282802216310828347110292943440178518117655180955116549443801000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
475901672763993847768788182723802001818693526003700720342825156201030051563557668061635429421514845977052167221664018100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,20987263768892128686603558858119668280204384496763201767118589388465425273952893161518122437488804707588000574475383198210000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
99939351280438708031445518371998420381925640460777151271993282802216310828347110292943440178518117655180955116549443801000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,4407325391467347024186747360205130338842920744320272371094903771577739307530107563918805711872648988593480120639830471624100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
20987263768892128686603558858119668280204384496763201767118589388465425273952893161518122437488804707588000574475383198210000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,925538332208142875079216945643077371157013356307257197929929792031325254581322588422949199493256287604630825334364399041061000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
4407325391467347024186747360205130338842920744320272371094903771577739307530107563918805711872648988593480120639830471624100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,194363049763710003766635558585046247942972804824524011565285256326578303462077743568819331893583820396972473320216523798622810000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
925538332208142875079216945643077371157013356307257197929929792031325254581322588422949199493256287604630825334364399041061000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40816240450379100790993467302859712068024289013150042428709903828581443727036326149452059697652602283364219397245469997710790100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
