numer,denom,倒数分解法
1,1,1
1,2,1
2,3,2
3,5,3
5,8,4
8,13,5
13,21,6
21,34,7
34,55,8
55,89,9
89,144,10
144,233,11
233,377,12
377,610,13
610,987,14
987,1597,15
1597,2584,16
2584,4181,17
4181,6765,18
6765,10946,19
10946,17711,20
17711,28657,21
28657,46368,22
46368,75025,23
75025,121393,24
121393,196418,25
196418,317811,26
317811,514229,27
514229,832040,28
832040,1346269,29
